ensembl_gene_id	external_gene_name	entrezgene_id	chromosome_name	start_position	end_position
ENSG00000010932	FMO1	2326	1	171248471	171285978
ENSG00000011021	CLCN6	1185	1	11806096	11848079
ENSG00000011376	LARS2	23395	3	45388527	45554726
ENSG00000011523	CEP68	23177	2	65056350	65087010
ENSG00000011566	MAP4K3	8491	2	39249266	39437324
ENSG00000013288	MAN2B2	23324	4	6575174	6623362
ENSG00000013293	SLC7A14	57709	3	170459548	170586075
ENSG00000013297	CLDN11	5010	3	170418865	170454733
ENSG00000013810	TACC3	10460	4	1712858	1745178
ENSG00000014257	ACP3	55	3	132317369	132368302
ENSG00000014641	MDH1	4190	2	63588557	63607273
ENSG00000014914	MTMR11	10903	1	149928651	149937523
ENSG00000016391	CHDH	55349	3	53812335	53846466
ENSG00000016490	CLCA1	1179	1	86468368	86501400
ENSG00000016864	GLT8D1	55830	3	52694153	52706368
ENSG00000017260	ATP2C1	27032	3	130850511	131016712
ENSG00000018280	SLC11A1	6556	2	218382029	218396894
ENSG00000018408	WWTR1	25937	3	149517235	149736714
ENSG00000018510	AGPS	8540	2	177392576	177567024
ENSG00000018607	ZNF285CP	NA	2	132309309	132318736
ENSG00000018625	ATP1A2	477	1	160115758	160143595
ENSG00000018699	TTC27	55622	2	32628032	32821051
ENSG00000019169	MARCO	8685	2	118942172	118994664
ENSG00000020633	RUNX3	864	1	24899511	24965121
ENSG00000021826	CPS1	1373	2	210477682	210679107
ENSG00000023228	NDUFS1	4719	2	206114817	206159522
ENSG00000023330	ALAS1	211	3	52198086	52214585
ENSG00000023902	PLEKHO1	51177	1	150149183	150164720
ENSG00000023909	GCLM	2730	1	93885199	93909513
ENSG00000024526	DEPDC1	55635	1	68474152	68497230
ENSG00000026751	SLAMF7	57823	1	160739057	160754821
ENSG00000028116	VRK2	7444	2	57907606	58164001
ENSG00000030419	IKZF2	22807	2	212999691	213152427
ENSG00000031081	ARHGAP31	57514	3	119294352	119420714
ENSG00000031698	SARS1	6301	1	109213844	109238773
ENSG00000032389	EIPR1	7260	2	3188925	3377852
ENSG00000033122	LRRC7	57554	1	69567922	70151945
ENSG00000033867	SLC4A7	9497	3	27372723	27484451
ENSG00000034533	ASTE1	28990	3	131013066	131027649
ENSG00000034971	MYOC	4653	1	171635417	171652688
ENSG00000035141	FAM136A	84908	2	70295976	70302067
ENSG00000035687	ADSS2	159	1	244408494	244451909
ENSG00000036054	TBC1D23	55773	3	100260780	100325251
ENSG00000036257	CUL3	8452	2	224470150	224585397
ENSG00000036549	ZZZ3	26009	1	77562416	77683422
ENSG00000036828	CASR	846	3	122183668	122291629
ENSG00000040487	SLC66A1	54896	1	19312284	19329300
ENSG00000040933	INPP4A	3631	2	98444246	98594392
ENSG00000041802	LSG1	55341	3	194640791	194672463
ENSG00000041988	THAP3	90326	1	6624845	6635586
ENSG00000042304	SLC19A4P	NA	2	227632969	227648606
ENSG00000042445	RETSAT	54884	2	85341954	85354655
ENSG00000042493	CAPG	822	2	85393587	85422017
ENSG00000042781	USH2A	7399	1	215622891	216423448
ENSG00000043093	DCUN1D1	54165	3	182938074	182985953
ENSG00000043514	TRIT1	54802	1	39838110	39883511
ENSG00000044012	GUCA2B	2981	1	42153410	42155820
ENSG00000044524	EPHA3	2042	3	89107522	89482437
ENSG00000047457	CP	1356	3	149162410	149221998
ENSG00000047849	MAP4	4134	3	47850678	48089295
ENSG00000048707	VPS13D	55187	1	12230030	12512047
ENSG00000048991	R3HDM1	23518	2	135531448	135725314
ENSG00000049089	COL9A2	1298	1	40300487	40317813
ENSG00000049239	H6PD	9563	1	9234774	9271337
ENSG00000049245	VAMP3	9341	1	7771296	7781432
ENSG00000049246	PER3	8863	1	7784291	7845181
ENSG00000049247	UTS2	10911	1	7843083	7853512
ENSG00000049249	TNFRSF9	3604	1	7915871	7943165
ENSG00000049323	LTBP1	4052	2	32946472	33399509
ENSG00000050628	PTGER3	5733	1	70852353	71047816
ENSG00000051382	PIK3CB	5291	3	138652336	138834957
ENSG00000052723	SIKE1	80143	1	114769479	114780699
ENSG00000053371	AKR7A2	8574	1	19301991	19312144
ENSG00000053372	MRTO4	51154	1	19251796	19260128
ENSG00000053524	MCF2L2	23101	3	183178041	183428778
ENSG00000054118	THRAP3	9967	1	36224392	36305376
ENSG00000054219	LY75	4065	2	159803355	159904756
ENSG00000054267	ARID4B	51742	1	235131634	235328219
ENSG00000054277	OPN3	23596	1	241590102	241677376
ENSG00000054282	SDCCAG8	10806	1	243255349	243500095
ENSG00000054356	PTPRN	5798	2	219289623	219309648
ENSG00000054392	HHAT	55733	1	210328252	210676298
ENSG00000054523	KIF1B	23095	1	10210533	10381606
ENSG00000055070	SZRD1	26099	1	16352575	16398147
ENSG00000055332	EIF2AK2	5610	2	37099210	37157688
ENSG00000055813	CCDC85A	114800	2	56183751	56386178
ENSG00000055917	PUM2	23369	2	20248691	20352234
ENSG00000055955	ITIH4	3700	3	52812918	52831069
ENSG00000055957	ITIH1	3697	3	52777567	52792068
ENSG00000056736	IL17RB	55540	3	53845783	53866045
ENSG00000057019	DCBLD2	131566	3	98795941	98901729
ENSG00000057252	SOAT1	6646	1	179293440	179358680
ENSG00000057468	MSH4	4438	1	75796882	75913242
ENSG00000057935	MTA3	57504	2	42494569	42756947
ENSG00000058056	USP13	8975	3	179653004	179804366
ENSG00000058063	ATP11B	23200	3	182793472	182923011
ENSG00000058085	LAMC2	3918	1	183186057	183245127
ENSG00000058262	SEC61A1	29927	3	128051641	128071705
ENSG00000058668	ATP2B4	493	1	203626778	203744081
ENSG00000058673	ZC3H11A	9877	1	203795623	203854999
ENSG00000058799	YIPF1	54432	1	53847531	53890683
ENSG00000058866	DGKG	1608	3	186105668	186362261
ENSG00000059588	TARBP1	6894	1	234391313	234479197
ENSG00000059728	MXD1	4084	2	69897688	69942945
ENSG00000060642	PIGV	55650	1	26787054	26800659
ENSG00000060656	PTPRU	10076	1	29236505	29326813
ENSG00000060688	SNRNP40	9410	1	31259568	31296788
ENSG00000060718	COL11A1	1301	1	102876467	103108872
ENSG00000061676	NCKAP1	10787	2	182909115	183038858
ENSG00000061938	TNK2	10188	3	195863364	195911945
ENSG00000063660	GPC1	2817	2	240435636	240468076
ENSG00000063978	RNF4	6047	4	2462220	2515859
ENSG00000064012	CASP8	841	2	201233443	201361836
ENSG00000064225	ST3GAL6	10402	3	98732175	98821201
ENSG00000064835	POU1F1	5449	3	87259404	87276584
ENSG00000064886	CHI3L2	1117	1	111200771	111243440
ENSG00000064933	PMS1	5378	2	189784085	189878385
ENSG00000064989	CALCRL	10203	2	187341946	187448506
ENSG00000065135	GNAI3	2773	1	109548584	109600195
ENSG00000065183	WDR3	10885	1	117929063	117966543
ENSG00000065243	PKN2	5586	1	88684222	88836255
ENSG00000065371	ROPN1	54763	3	123968521	123992178
ENSG00000065413	ANKRD44	91526	2	196967017	197311173
ENSG00000065485	PDIA5	10954	3	123067025	123225227
ENSG00000065518	NDUFB4	4710	3	120596303	120602507
ENSG00000065526	SPEN	23013	1	15836095	15940456
ENSG00000065534	MYLK	4638	3	123610049	123884375
ENSG00000065911	MTHFD2	10797	2	74186172	74217565
ENSG00000065978	YBX1	4904	1	42682408	42703805
ENSG00000066032	CTNNA2	1496	2	79185231	80648861
ENSG00000066056	TIE1	7075	1	43300971	43323108
ENSG00000066135	KDM4A	9682	1	43649256	43705518
ENSG00000066136	NFYC	4802	1	40691570	40771606
ENSG00000066185	ZMYND12	84217	1	42430329	42456253
ENSG00000066248	NGEF	25791	2	232878686	233013263
ENSG00000066294	CD84	8832	1	160541095	160579516
ENSG00000066322	ELOVL1	64834	1	43363396	43368075
ENSG00000066405	CLDN18	51208	3	137998735	138033655
ENSG00000066422	ZBTB11	27107	3	101648889	101677135
ENSG00000066557	LRRC40	55631	1	70143411	70205639
ENSG00000067066	SP100	6672	2	230415942	230545606
ENSG00000067334	DNTTIP2	30836	1	93866284	93879918
ENSG00000067533	RRP15	51018	1	218285290	218337983
ENSG00000067606	PRKCZ	5590	1	2050411	2185395
ENSG00000067704	IARS2	55699	1	220094107	220148041
ENSG00000068024	HDAC4	9759	2	239048168	239401661
ENSG00000068078	FGFR3	2261	4	1793286	1808873
ENSG00000068615	REEP1	65055	2	86213993	86338083
ENSG00000068654	POLR1A	25885	2	86020216	86106155
ENSG00000068697	LAPTM4A	9741	2	20032649	20051693
ENSG00000068724	TTC7A	57217	2	46915869	47076137
ENSG00000068781	STON1-GTF2A1L	286749	2	48529925	48776517
ENSG00000068784	SRBD1	55133	2	45388679	45612165
ENSG00000068878	PSME4	23198	2	53864069	53971040
ENSG00000068885	IFT80	57560	3	160256986	160400357
ENSG00000068912	ERLEC1	27248	2	53787009	53833038
ENSG00000069248	NUP133	55746	1	229440259	229508356
ENSG00000069424	KCNAB2	8514	1	5990927	6101193
ENSG00000069702	TGFBR3	7049	1	91680343	91906335
ENSG00000069812	HES2	54626	1	6412418	6424690
ENSG00000069849	ATP1B3	483	3	141876124	141926549
ENSG00000070087	PFN2	5217	3	149964904	150050788
ENSG00000070476	ZXDC	79364	3	126437601	126475993
ENSG00000070759	TESK2	10420	1	45343877	45491203
ENSG00000070785	EIF2B3	8891	1	44850522	44986722
ENSG00000070831	CDC42	998	1	22052627	22101360
ENSG00000070886	EPHA8	2046	1	22563489	22603595
ENSG00000070950	RAD18	56852	3	8775402	8963773
ENSG00000071051	NCK2	8440	2	105744369	105894275
ENSG00000071054	MAP4K4	9448	2	101696850	101894690
ENSG00000071073	MGAT4A	11320	2	98619106	98732639
ENSG00000071082	RPL31	6160	2	101002229	101024032
ENSG00000071282	LMCD1	29995	3	8501587	8574668
ENSG00000071575	TRIB2	28951	2	12716910	12742734
ENSG00000071794	HLTF	6596	3	149030122	149086554
ENSG00000071909	MYO3B	140469	2	170178145	170655171
ENSG00000071967	CYBRD1	79901	2	171522247	171558129
ENSG00000072163	LIMS2	55679	2	127638381	127681786
ENSG00000072182	ASIC4	55515	2	219514170	219538772
ENSG00000072195	SPEG	10290	2	219434843	219493629
ENSG00000072274	TFRC	7037	3	196012511	196082162
ENSG00000072694	FCGR2B	2213	1	161662803	161679490
ENSG00000072756	TRNT1	51095	3	3126364	3153435
ENSG00000072832	CRMP1	1400	4	5748084	5893086
ENSG00000072840	EVC	2121	4	5711201	5814305
ENSG00000072858	SIDT1	54847	3	113532400	113629714
ENSG00000073111	MCM2	4171	3	127598223	127622437
ENSG00000073282	TP63	8626	3	189631389	189897276
ENSG00000073734	ABCB11	8647	2	168915498	169031324
ENSG00000073737	DHRS9	10170	2	169064789	169096168
ENSG00000073754	CD5L	922	1	157830911	157898256
ENSG00000073756	PTGS2	5743	1	186671791	186680922
ENSG00000073792	IGF2BP2	10644	3	185643130	185825061
ENSG00000073803	MAP3K13	9175	3	185282941	185489094
ENSG00000073849	ST6GAL1	6480	3	186930325	187078932
ENSG00000074047	GLI2	2736	2	120735623	120992653
ENSG00000074054	CLASP1	23332	2	121337776	121649599
ENSG00000074211	PPP2R2C	5522	4	6320578	6563600
ENSG00000074416	MGLL	11343	3	127689062	128052190
ENSG00000074582	BCS1L	617	2	218658764	218663466
ENSG00000074800	ENO1	2023	1	8860977	8879289
ENSG00000074964	ARHGEF10L	55160	1	17539368	17697876
ENSG00000075292	ZNF638	27332	2	71276537	71437183
ENSG00000075340	ADD2	119	2	70607618	70768499
ENSG00000075391	RASAL2	9462	1	178093768	178484147
ENSG00000075420	FNDC3B	64778	3	172039547	172405418
ENSG00000075426	FOSL2	2355	2	28392448	28417317
ENSG00000075568	TMEM131	23505	2	97756333	97996226
ENSG00000075651	PLD1	5337	3	171600404	171810950
ENSG00000075711	DLG1	1739	3	197042560	197299330
ENSG00000075785	RAB7A	7879	3	128693669	128825942
ENSG00000075884	ARHGAP15	55843	2	143091362	143768352
ENSG00000075914	EXOSC7	23016	3	44975241	45036066
ENSG00000075945	KIFAP3	22920	1	169921326	170085208
ENSG00000075975	MKRN2	23609	3	12557020	12586208
ENSG00000076258	FMO4	2329	1	171314091	171343741
ENSG00000076321	KLHL20	27252	1	173714919	173786820
ENSG00000076356	PLXNA2	5362	1	208022242	208244850
ENSG00000076864	RAP1GAP	5909	1	21596215	21669846
ENSG00000077044	DGKD	8527	2	233354484	233472104
ENSG00000077092	RARB	5915	3	24687887	25597932
ENSG00000077152	UBE2T	29089	1	202328714	202341984
ENSG00000077157	PPP1R12B	4660	1	202348666	202592706
ENSG00000077232	DNAJC10	54431	2	182715607	182794464
ENSG00000077254	USP33	23032	1	77694725	77759884
ENSG00000077380	DYNC1I2	1781	2	171687409	171750158
ENSG00000077522	ACTN2	88	1	236664141	236764631
ENSG00000077549	CAPZB	832	1	19338775	19485600
ENSG00000078018	MAP2	4133	2	209423988	209734235
ENSG00000078070	MCCC1	56922	3	183015218	183116075
ENSG00000078081	LAMP3	27074	3	183122200	183163839
ENSG00000078098	FAP	2191	2	162170684	162245151
ENSG00000078369	GNB1	2782	1	1785285	1892292
ENSG00000078808	SDF4	51150	1	1216887	1238870
ENSG00000078900	TP73	7161	1	3652516	3736201
ENSG00000079156	OSBPL6	114880	2	178193711	178402893
ENSG00000079257	LXN	56925	3	158645822	158672648
ENSG00000079263	SP140	11262	2	230203110	230316577
ENSG00000079308	TNS1	7145	2	217799588	218033982
ENSG00000079739	PGM1	5236	1	63593241	63660245
ENSG00000079785	DDX1	1653	2	15591178	15634346
ENSG00000080200	CRYBG3	131544	3	97822011	97944984
ENSG00000080224	EPHA6	285220	3	96814581	97761532
ENSG00000080293	SCTR	6344	2	119439839	119525301
ENSG00000080345	RIF1	55183	2	151409883	151508013
ENSG00000080819	CPOX	1371	3	98579446	98593707
ENSG00000080822	CLDND1	56650	3	98497912	98523066
ENSG00000080947	CROCCP3	114819	1	16474396	16491307
ENSG00000081019	RSBN1	54665	1	113761832	113812476
ENSG00000081026	MAGI3	260425	1	113390501	113685923
ENSG00000081052	COL4A4	1286	2	227002714	227164453
ENSG00000081237	PTPRC	5788	1	198629900	198759346
ENSG00000081248	CACNA1S	779	1	201039512	201112451
ENSG00000081307	UBA5	79876	3	132654446	132679794
ENSG00000081479	LRP2	4036	2	169127109	169362534
ENSG00000082258	CCNT2	905	2	134918235	134959342
ENSG00000082438	COBLL1	22837	2	164653624	164843679
ENSG00000082482	KCNK2	3776	1	215005775	215237090
ENSG00000082512	TRAF5	7188	1	211326325	211375036
ENSG00000082684	SEMA5B	54437	3	122908792	123028605
ENSG00000082701	GSK3B	2932	3	119821321	120094994
ENSG00000082781	ITGB5	3693	3	124761948	124901418
ENSG00000082898	XPO1	7514	2	61476032	61538753
ENSG00000082996	RNF13	11342	3	149809445	149962153
ENSG00000083444	PLOD1	5351	1	11934205	11975542
ENSG00000083937	CHMP2B	25978	3	87227271	87255556
ENSG00000084070	SMAP2	64744	1	40344850	40423326
ENSG00000084072	PPIE	10450	1	39692182	39763914
ENSG00000084628	NKAIN1	79570	1	31179344	31239966
ENSG00000084636	COL16A1	1307	1	31652260	31704319
ENSG00000084652	TXLNA	200081	1	32178097	32198299
ENSG00000084674	APOB	338	2	21001429	21044073
ENSG00000084676	NCOA1	8648	2	24490992	24770702
ENSG00000084693	AGBL5	60509	2	27042364	27070622
ENSG00000084710	EFR3B	22979	2	25042048	25159135
ENSG00000084731	KIF3C	3797	2	25926589	25982761
ENSG00000084733	RAB10	10890	2	26033481	26138436
ENSG00000084734	GCKR	2646	2	27496532	27523688
ENSG00000084764	MAPRE3	22924	2	26970633	27027219
ENSG00000084774	CAD	790	2	27217369	27243943
ENSG00000085274	MYNN	55892	3	169773377	169789716
ENSG00000085433	WDR47	22911	1	108970211	109042169
ENSG00000085491	SLC25A24	29957	1	108134043	108200849
ENSG00000085552	IGSF9	57549	1	159927039	159949468
ENSG00000085760	MTIF2	4528	2	55236230	55270263
ENSG00000085831	TTC39A	22996	1	51287258	51345116
ENSG00000085832	EPS15	2060	1	51354263	51519387
ENSG00000085978	ATG16L1	55054	2	233210051	233295674
ENSG00000085982	USP40	55230	2	233475526	233566782
ENSG00000085999	RAD54L	8438	1	46246461	46278482
ENSG00000086015	MAST2	23139	1	45786987	46036228
ENSG00000086619	ERO1B	56605	1	236214681	236282019
ENSG00000087008	ACOX3	8310	4	8365885	8440750
ENSG00000087266	SH3BP2	6452	4	2793020	2841291
ENSG00000087269	NOP14	8602	4	2937933	2963406
ENSG00000087338	GMCL1	64395	2	69829646	69881384
ENSG00000088035	ALG6	29929	1	63367575	63438553
ENSG00000088205	DDX18	8886	2	117814673	117832379
ENSG00000088280	ASAP3	55616	1	23428561	23484637
ENSG00000088538	DOCK3	1795	3	50674927	51384198
ENSG00000088726	TMEM40	55287	3	12733528	12769457
ENSG00000090020	SLC9A1	6548	1	27098809	27166981
ENSG00000090104	RGS1	5996	1	192575763	192580024
ENSG00000090273	NUDC	10726	1	26900238	26946885
ENSG00000090316	MAEA	10296	4	1289876	1340147
ENSG00000090402	SI	6476	3	164978898	165078496
ENSG00000090530	P3H2	55214	3	189956728	190122437
ENSG00000090534	THPO	7066	3	184371935	184381968
ENSG00000090539	CHRD	8646	3	184379381	184390736
ENSG00000090621	PABPC4	8761	1	39560709	39576868
ENSG00000090686	USP48	84196	1	21678298	21783606
ENSG00000091181	IL5RA	3568	3	3066324	3126613
ENSG00000091317	CMTM6	54918	3	32474175	32502852
ENSG00000091409	ITGA6	3655	2	172234216	172506459
ENSG00000091428	RAPGEF4	11069	2	172735274	173052893
ENSG00000091436	MAP3K20	51776	2	173075322	173268909
ENSG00000091483	FH	2271	1	241497511	241519799
ENSG00000091513	TF	7018	3	133746040	133796641
ENSG00000091972	CD200	4345	3	112332235	112363181
ENSG00000091986	CCDC80	151887	3	112596797	112649530
ENSG00000092345	DAZL	1618	3	16586792	16670306
ENSG00000092607	TBX15	6913	1	118883046	118989556
ENSG00000092621	PHGDH	26227	1	119648411	119744227
ENSG00000092969	TGFB2	7042	1	218345336	218444619
ENSG00000092978	GPATCH2	55105	1	217426992	217631090
ENSG00000093167	LRRFIP2	9209	3	37052626	37183689
ENSG00000093183	SEC22C	9117	3	42547969	42601168
ENSG00000093217	XYLB	9942	3	38346760	38421348
ENSG00000094963	FMO2	2327	1	171185249	171212686
ENSG00000094975	SUCO	51430	1	172532349	172611833
ENSG00000095002	MSH2	4436	2	47403067	47663146
ENSG00000097021	ACOT7	11332	1	6264268	6393767
ENSG00000097033	SH3GLB1	51100	1	86704520	86748184
ENSG00000097046	CDC7	8317	1	91500535	91527360
ENSG00000099260	PALMD	54873	1	99645499	99695178
ENSG00000107404	DVL1	1855	1	1335276	1349945
ENSG00000109501	WFS1	7466	4	6269839	6303265
ENSG00000109519	GRPEL1	80273	4	7058643	7068145
ENSG00000109625	CPZ	8532	4	8592660	8619761
ENSG00000109758	HGFAC	3083	4	3441924	3449493
ENSG00000113805	CNTN3	5067	3	74262568	74614698
ENSG00000113810	SMC4	10051	3	160399274	160434965
ENSG00000113845	TIMMDC1	51300	3	119498515	119525090
ENSG00000113851	CRBN	51185	3	3144628	3179727
ENSG00000113889	KNG1	3827	3	186717329	186744410
ENSG00000113916	BCL6	604	3	187721377	187745725
ENSG00000113924	HGD	3081	3	120628165	120682385
ENSG00000113946	CLDN16	10686	3	190322522	190412460
ENSG00000113966	ARL6	84100	3	97764521	97801229
ENSG00000113971	NPHP3	27031	3	132680609	132722432
ENSG00000114019	AMOTL2	51421	3	134355347	134375479
ENSG00000114021	NIT2	56954	3	100334625	100361635
ENSG00000114023	FAM162A	26355	3	122384161	122412334
ENSG00000114026	OGG1	4968	3	9749944	9788219
ENSG00000114107	CEP70	80321	3	138494339	138594538
ENSG00000114115	RBP1	5947	3	139517434	139539829
ENSG00000114120	SLC25A36	55186	3	140941801	140980995
ENSG00000114124	GRK7	131890	3	141763408	141819352
ENSG00000114126	TFDP2	7029	3	141944428	142149544
ENSG00000114166	KAT2B	8850	3	20040400	20154404
ENSG00000114204	SERPINI2	5276	3	167441914	167478972
ENSG00000114248	LRRC31	79782	3	169837917	169870000
ENSG00000114251	WNT5A	7474	3	55465715	55490539
ENSG00000114268	PFKFB4	5210	3	48517684	48562015
ENSG00000114270	COL7A1	1294	3	48564073	48595329
ENSG00000114279	FGF12	2257	3	192139390	192767764
ENSG00000114331	ACAP2	23527	3	195274738	195443091
ENSG00000114346	ECT2	1894	3	172750682	172821474
ENSG00000114354	TFG	10342	3	100709295	100748965
ENSG00000114416	FXR1	8087	3	180868141	180982753
ENSG00000114439	BBX	56987	3	107522936	107811339
ENSG00000114446	IFT57	55081	3	108160812	108222553
ENSG00000114455	HHLA2	11148	3	108295334	108379814
ENSG00000114480	GBE1	2632	3	81489699	81761781
ENSG00000114487	MORC1	27136	3	108958248	109118134
ENSG00000114491	UMPS	7372	3	124730433	124749273
ENSG00000114503	NCBP2	22916	3	196935402	196942594
ENSG00000114520	SNX4	8723	3	125446644	125520233
ENSG00000114529	C3orf52	79669	3	112086335	112131004
ENSG00000114541	FRMD4B	23150	3	69168782	69542583
ENSG00000114544	SLC41A3	54946	3	126005662	126101561
ENSG00000114547	ROPN1B	152015	3	125969160	125983454
ENSG00000114554	PLXNA1	5361	3	126982693	127037389
ENSG00000114573	ATP6V1A	523	3	113746770	113812056
ENSG00000114626	ABTB1	80325	3	127672906	127680926
ENSG00000114631	PODXL2	50512	3	127629143	127672810
ENSG00000114638	UPK1B	7348	3	119173517	119205152
ENSG00000114654	EFCC1	79825	3	129001304	129040742
ENSG00000114656	CFAP92	57501	3	128909866	129002690
ENSG00000114670	NEK11	79858	3	131026850	131353043
ENSG00000114698	PLSCR4	57088	3	146192335	146251179
ENSG00000114739	ACVR2B	93	3	38453890	38493142
ENSG00000114742	WDR48	57599	3	39051999	39096671
ENSG00000114744	COMMD2	51122	3	149734667	149752495
ENSG00000114745	GORASP1	64689	3	39095222	39108369
ENSG00000114757	PEX5L	51555	3	179794958	180037053
ENSG00000114771	AADAC	13	3	151813931	151828917
ENSG00000114790	ARHGEF26	26084	3	154121003	154257827
ENSG00000114805	PLCH1	23007	3	155375580	155745085
ENSG00000114812	VIPR1	7433	3	42489299	42537688
ENSG00000114841	DNAH1	25981	3	52316319	52400492
ENSG00000114850	SSR3	6747	3	156539553	156559474
ENSG00000114853	ZBTB47	92999	3	42652900	42667580
ENSG00000114857	NKTR	4820	3	42600471	42648738
ENSG00000114861	FOXP1	27086	3	70954693	71584009
ENSG00000114867	EIF4G1	1981	3	184314490	184335358
ENSG00000114902	SPCS1	28972	3	52704955	52711148
ENSG00000114904	NEK4	6787	3	52708444	52770973
ENSG00000114923	SLC4A3	6508	2	219627011	219641980
ENSG00000114933	INO80D	54891	2	205993721	206086303
ENSG00000114956	DGUOK	1716	2	73926794	73958961
ENSG00000114978	MOB1A	55233	2	74152528	74178932
ENSG00000114982	KANSL3	55683	2	96593170	96642787
ENSG00000115008	IL1A	3552	2	112773925	112784493
ENSG00000115020	PIKFYVE	200576	2	208266234	208358755
ENSG00000115041	KCNIP3	30818	2	95297327	95386081
ENSG00000115042	FAHD2A	51011	2	95402691	95416616
ENSG00000115053	NCL	4691	2	231453531	231483641
ENSG00000115084	SLC35F5	80255	2	113705011	113756693
ENSG00000115085	ZAP70	7535	2	97713576	97744327
ENSG00000115107	STEAP3	55240	2	119222447	119265652
ENSG00000115112	TFCP2L1	29842	2	121216587	121285202
ENSG00000115128	SF3B6	51639	2	24067579	24076464
ENSG00000115129	TP53I3	9540	2	24077433	24085861
ENSG00000115137	DNAJC27	51277	2	24943636	24972094
ENSG00000115138	POMC	5443	2	25160853	25168903
ENSG00000115145	STAM2	10254	2	152116801	152175771
ENSG00000115163	CENPA	1058	2	26764289	26801067
ENSG00000115170	ACVR1	90	2	157736249	157876347
ENSG00000115183	TANC1	85461	2	158968581	159232668
ENSG00000115194	SLC30A3	7781	2	27253515	27275817
ENSG00000115204	MPV17	4358	2	27309486	27325680
ENSG00000115207	GTF3C2	2976	2	27324198	27357187
ENSG00000115211	EIF2B4	8890	2	27363420	27370400
ENSG00000115221	ITGB6	3694	2	160099664	160271888
ENSG00000115226	FNDC4	64838	2	27491883	27495631
ENSG00000115232	ITGA4	3676	2	181457202	181538940
ENSG00000115233	PSMD14	10213	2	161308414	161411720
ENSG00000115234	SNX17	9784	2	27370496	27377535
ENSG00000115239	ASB3	51130	2	53532672	53860160
ENSG00000115239	ASB3	100302652	2	53532672	53860160
ENSG00000115241	PPM1G	5496	2	27381194	27409674
ENSG00000115252	PDE1A	5136	2	182139968	182523359
ENSG00000115267	IFIH1	64135	2	162267074	162318684
ENSG00000115271	GCA	25801	2	162318839	162371595
ENSG00000115289	PCGF1	84759	2	74505041	74508361
ENSG00000115290	GRB14	2888	2	164492417	164622472
ENSG00000115295	CLIP4	79745	2	29095545	29199777
ENSG00000115306	SPTBN1	6711	2	54456288	54671446
ENSG00000115339	GALNT3	2591	2	165747588	165846201
ENSG00000115353	TACR1	6869	2	75046463	75199520
ENSG00000115355	CCDC88A	55704	2	55287818	55420042
ENSG00000115361	ACADL	33	2	210187126	210225447
ENSG00000115363	EVA1A	84141	2	75469302	75571036
ENSG00000115364	MRPL19	9801	2	75646783	75690851
ENSG00000115368	WDR75	84128	2	189441429	189479063
ENSG00000115380	EFEMP1	2202	2	55865962	55924271
ENSG00000115386	REG1A	5967	2	79120362	79123409
ENSG00000115392	FANCL	55120	2	58159243	58241410
